artists_name,track_name,release_date,genre,lyrics
Leonard Cohen,Hallelujah,2006,folk,"Hallelujah LyricsVerse 1Now Ive heard there was a secret chordThat David played, and it pleased the LordBut you dont really care for music, do ya?It goes like this, the fourth, the fifthThe minor fall, the major liftThe baffled king composing ""Hallelujah""ChorusHallelujah, HallelujahHallelujah, HallelujahVerse 2Your faith was strong but you needed proofYou saw her bathing on the roofHer beauty in t"
XXXTENTACION,Revenge,2010,folk,"Revenge LyricsIntroI think I, I think I finallyFound a way to forgive myselfFrom mistakes I made in my pastI think thats the first step, right?You agree?VerseIve dug two graves for us, my dearCant pretend that I was perfect, leavin you in fearOh, man, what a world, the things I hearIf I could act on my revenge, then, oh, would I?Some kill, some steal, some break your heartAnd you thought that I wo"
Taylor Swift,​cardigan,2003,folk,"​cardigan LyricsVerse 1Vintage tee, brand new phoneHigh heels on cobblestonesWhen you are young, they assume you know nothingSequin smile, black lipstickSensual politicsWhen you are young, they assume you know nothingChorusBut I knew youDancin in your LevisDrunk under a streetlight, II knew youHand under my sweatshirtBaby, kiss it better, IRefrainAnd when I felt like I was an old cardiganUnder som"
Taylor Swift,​exile,2001,folk,"​exile LyricsVerse 1 Justin VernonI can see you standing, honeyWith his arms around your bodyLaughin, but the jokes not funny at allAnd it took you five whole minutesTo pack us up and leave me with itHoldin all this love out here in the hallChorus Justin VernonI think Ive seen this film beforeAnd I didnt like the endingYoure not my homeland anymoreSo what am I defending now?You were my town, now I"
Billie Eilish,Your Power,2005,folk,Your Power LyricsChorusTry not to abuse your powerI know we didnt choose to changeYou might not wanna lose your powerBut havin its so strangeVerse 1She said you were a heroYou played the partBut you ruined her in a yearDont act like it was hardAnd you swear you didnt know Didnt knowNo wonder why you didnt askShe was sleepin in your clothes In your clothesBut now shes got to get to classPre-ChorusH
Vance Joy,Riptide,2003,folk,"Riptide LyricsVerse 1I was scared of dentists and the darkI was scared of pretty girls and starting conversationsOh, all my friends are turning greenYoure the magicians assistant in their dreamPre-ChorusOh, oh-o-oh, and they come unstuckChorusLady, running down to the riptideTaken away to the dark sideI wanna be your left hand manI love you, when youre singing that song andI got a lump in my throa"
Taylor Swift,​betty,2003,folk,"​betty LyricsVerse 1Betty, I wont make assumptionsAbout why you switched your homeroom, butI think its cause of meBetty, one time I was riding on my skateboardWhen I passed your houseIts like I couldnt breathePre-ChorusYou heard the rumors from InezYou cant believe a word she saysMost times, but this time it was trueThe worst thing that I ever didWas what I did to youChorusBut if I just showed up "
Ed Sheeran,Thinking Out Loud,2008,folk,"Thinking Out Loud LyricsVerse 1When your legs dont work like they used to beforeAnd I cant sweep you off of your feetWill your mouth still remember the taste of my love?Will your eyes still smile from your cheeks?And darling, I will be loving you till were seventyAnd baby, my heart could still fall as hard at twenty-threeAnd Im thinking bout howPre-Chorus 1People fall in love in mysterious waysMay"
Ed Sheeran,Galway Girl,2003,folk,"Galway Girl LyricsChorusShe played the fiddle in an Irish bandBut she fell in love with an English manKissed her on the neck and then I took her by the handSaid, ""Baby, I just want to dance""Verse 1I met her on Grafton street right outside of the barShe shared a cigarette with me while her brother played the guitarShe asked me what does it mean, the Gaelic ink on your arm?Said it was one of my frie"
Passenger,Let Her Go,2007,folk,Let Her Go LyricsProduced by Mike Rosenberg and Chris VallejoVideo by Dave Jensen and TavicHookWell you only need the light when its burning lowOnly miss the sun when it starts to snowOnly know you love her when you let her goOnly know youve been high when youre feeling lowOnly hate the road when youre missing homeOnly know you love her when you let her goAnd you let her go...Verse 1Staring at the
