artist_name,track_name,release_date,genre,lyrics
Woody Guthrie,This Land Is Your Land,1944,folk,"This land is your land, this land is my land, from California to the New York island, from the redwood forest to the Gulf Stream waters; this land was made for you and me." 
Pete Seeger,If I Had a Hammer,1949,folk,"If I had a hammer, I'd hammer in the morning, I'd hammer in the evening, all over this land; I'd hammer out danger, I'd hammer out a warning, I'd hammer out love between my brothers and my sisters, all over this land."
Lead Belly,"Goodnight, Irene",1933,folk,"I asked your mother for you, She told me that you was too young, I wish dear Lord that I'd never seen your face, I'm sorry you ever were born, Irene good night, Irene good night, Good night Irene and good night Irene, I guess you're in my dreams, Sometimes I live in the country, Sometimes I live in town, Sometimes I have a great notion, Jumping in, into the river and drown, Irene good night, Irene good night, Good night Irene and good night Irene, I guess you're in my dreams, Stop ramblin' and stop gamblin', Quit staying out late at night, Go home to your wife and your family, Stay there by the fireside bright, Irene good night, Irene good night, Good night Irene and good night Irene, I guess you're in my dreams, I love Irene, God knows I do, I love her 'til the sea runs dry, If Irene turns her back on me, I'm gonna take morphine and die"
Elizabeth Cotten,Freight Train,1958,folk,"Freight train, freight train, run so fast Freight train, freight train, run so fast Please don't tell what train I'm on They won't know what route I'm going When I'm dead and in my grave No more good times here I crave Place the stones at my head and feet And tell them all I've gone to sleep When I die, oh bury me deep Down at the end of old Chestnut Street So I can hear old Number Nine As she comes rolling by When I die, oh bury me deep Down at the end of old Chestnut Street Place the stones at my head and feet And tell them all I've gone to sleep Freight train, freight train, run so fast Freight train, freight train, run so fast Please don't tell what train I'm on They won't know what route I'm going"
Malvina Reynolds,Little Boxes,1962,folk,"Little boxes on the hillside Little boxes made of ticky-tacky Little boxes on the hillside Little boxes all the same There's a green one and a pink one And a blue one and a yellow one And they're all made out of ticky-tacky And they all look just the same And the people in the houses All went to the university Where they were put in boxes And they came out all the same And there's doctors and lawyers And business executives And they're all made out of ticky-tacky And they all look just the same And they all play on the golf course And drink their martinis dry And they all have pretty children And the children go to school And the children go to summer camp And then to the university Where they are put in boxes And they come out all the same And the boys go into business And marry and raise a family In boxes made of ticky-tacky And they all look just the same There's a pink one and a green one And a blue one and a yellow one And they're all made out of ticky-tacky And they all look just the same"
Tim Hardin,If I Were a Carpenter,1966,folk,"If I were a carpenter And you were a lady Would you marry me anyway? Would you have my baby? If a tinker were my trade Would you still find me Carrying the pots I made Following behind me? Save my love for sorrow Save my love for lonely I've given you my tomorrow Love me only If I worked my hands in wood Would you still love me? Answer me quick, Tim, I could I'll put you above me If I were a miller At a mill wheel grinding Would you miss your colored blocks Soft shoes and shining? Save my love through loneliness Save my love for sorrow I've given you my onlyness Give me your tomorrow If I were a carpenter And you were a lady Would you marry me anyway? Would you have my baby?"
Bill Monroe,Blue Moon of Kentucky,1947,folk,"Blue moon of Kentucky, keep on shinin' Shine on the one that's gone and proved untrue Blue moon of Kentucky, keep on shinin' Shine on the one that's gone and left me blue It was on a moonlit night The stars were shinin' bright And they whispered from on high Your love has said goodbye Blue moon of Kentucky, keep on shinin' Shine on the one that's gone and said, Goodbye Blue moon of Kentucky, keep on shinin' Shine on the one that's gone and proved untrue Blue moon of Kentucky, keep on shinin' Shine on the one that's gone and left me blue It was on a moonlit night The stars were shinin' bright And they whispered from on high Your love has said goodbye Blue moon of Kentucky, keep on shinin' Shine on the one that's gone and said, Goodbye"
Hedy West,500 Miles,1961,folk,"If you miss the train I'm on You will know that I am gone You can hear the whistle blow a hundred miles! A hundred miles A hundred miles A hundred miles A hundred miles You can hear the whistle blow a hundred miles! If my honey said so I'd railroad no more I'd sidetrack my engine and go home! And go home And go home And go home And go home I'd sidetrack my engine and go home! Lord, I'm one, Lord, I'm two Lord, I'm three, Lord, I'm four Lord, I'm five hundred miles away from home! Away from home Away from home Away from home Away from home Lord, I'm five hundred miles away from home! I told my little letter Just as plain as I could tell her She'd better come along and go with me! Go with me Go with me Go with me Go with me She'd better come along and go with me! My clothes are all worn My shoes are all torn Lord, I can't make a living this a-way! This-a way This-a way This-a way This-a way Lord, I can't make a living this a-way! If this train runs me right I'll be back tomorrow night I'm coming down the line on number nine! Number nine Number nine Number nine Number nine For I'm coming down the line on number nine! Not a shirt on my back Not a penny to my name Lord I can't go back home this a-way! This-a way This-a way This-a way This-a way Lord I can't go back home this a-way! If you miss the train I'm on You will know that I am gone You can hear the whistle blow a hundred miles! A hundred miles A hundred miles A hundred miles A hundred miles You can hear the whistle blow a hundred miles!"
Mississippi John Hurt,Candy Man,1928,folk,"Well all you ladies gather 'round That good sweet candy man's in town It's the candy man It's the candy man He likes a stick of candy just nine inch long He sells as fast 'a hog can chew his corn It's the candy man It's the candy man All heard what sister Johnson said She always takes a candy stick to bed It's the candy man It's the candy man Don't stand close to the candy man He'll leaves a big candy stick in your hand It's the candy man It's the candy man He sold some candy to sister Bad The very next day she took all he had It's the candy man It's the candy man If you try his candy, good friend of mine You sure will want it for a long long time It's the candy man Sweet candy man His stick candy don't melt away It just gets better, so the ladies say It's the candy man It's the candy man"
Harry McClintock,Big Rock Candy Mountain,1928,folk,"One evening as the sun went down And the jungle fire was burning Down the track came a hobo hikin' And he said, Boys, I'm not turning I'm headed for a land that's far away Beside the crystal fountains So come with me, we'll go and see The Big Rock Candy Mountains In The Big Rock Candy Mountains There's a land that's fair and bright Where the handouts grow on bushes And you sleep out every night Where the boxcars all are empty And the sun shines every day On the birds and the bees and the cigarette trees The lemonade springs where the bluebird sings In The Big Rock Candy Mountains In The Big Rock Candy Mountains All the cops have wooden legs And the bulldogs all have rubber teeth And the hens lay soft-boiled eggs The farmers' trees are full of fruit And the barns are full of hay Oh I'm bound to go where there ain't no snow Where the rain don't fall, the wind don't blow In The Big Rock Candy Mountains In The Big Rock Candy Mountains You never change your socks And the little streams of alcohol Come a-trickling down the rocks The brakemen have to tip their hats And the railroad bulls are blind There's a lake of stew and of whiskey, too You can paddle all around 'em in a big canoe In The Big Rock Candy Mountains In The Big Rock Candy Mountains The jails are made of tin And you can walk right out again As soon as you are in There ain't no short-handle shovels No axes, saws or picks I'm a-goin' to stay where you sleep all day Where they hung the jerk that invented work In The Big Rock Candy Mountains I'll see you all this comin' fall In the Big Rock Candy Mountains"
